Unnamed: 0,visitor,Criteria(%),Homestay(seasonal),Available_for,House_facilities,absolute_link
31,Meet Madeline,100,Urban Cosy,Welcomes Males Females Couples Families Students,Park Bus Stop Train station Hospital,https://www.homestay.com//united-states/new-york/246310-homestay-in-manhattan-new-york
33,Meet Sarahya,50,Urban Spacious,Welcomes Males Females Couples Families Students,Desk and Lamp Wheelchair Accessible Air Conditioning Dresser / Drawers Closet / Wardrobe Bedside Locker / Nightstand Carpet / Moquette Mirror Fridge Hair-dryer Radio,https://www.homestay.com//united-states/brooklyn/175554-homestay-in-brooklyn-brooklyn
34,Meet Dana,100,Urban Stylish,Welcomes Males Females Couples Families Students,Park Shopping Centre Bus Stop Train station Hospital,https://www.homestay.com//united-states/rego-park-new-york/199916-homestay-in-queens-rego-park-new-york
35,Meet Marco,100,Urban Cosy,Welcomes Males Females Couples Families Students,Air Conditioning,https://www.homestay.com//united-states/west-new-york/201077-homestay-in-west-new-york-west-new-york
36,Meet Leslie,90,Rural Cosy,Welcomes Males Females Couples Families Students,Desk and Lamp TV Air Conditioning Mirror,https://www.homestay.com//united-states/whitestone/246165-homestay-in-queens-whitestone
37,Meet Kenneth,56,Cosmopolitan Cosy,Welcomes Males Females Couples Families Students,Garden Laundry TV Internet Access Smoke alarm Gym at home Air Conditioning,https://www.homestay.com//united-states/brooklyn/205095-homestay-in-kingscounty-brooklyn
38,Meet Trevor,56,Urban Historical,Welcomes Males Females Couples Families Students,Laundry Internet Access,https://www.homestay.com//united-states/brooklyn/239857-homestay-in-clinton-hill-college-area-brooklyn
39,Meet Candice ,56,Urban Cosy,Welcomes Males Females Couples Families Students,TV Internet Access Smoke alarm Air Conditioning,https://www.homestay.com//united-states/new-york/32344-homestay-in-canarsie-new-york
40,Meet JuYoung,100,Spacious,Welcomes Males Females Couples Families Students,Laundry Internet Access Air Conditioning,https://www.homestay.com//united-states/new-york/254006-homestay-in-upper-west-new-york
41,Meet David,56,Urban Stylish,Welcomes Males Females Couples Families Students,Parking TV Internet Access Smoke alarm Air Conditioning,https://www.homestay.com//united-states/brooklyn/206968-homestay-in-brooklyn-brooklyn
